# Matrix for position: 1
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 2
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 3
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 4
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 5
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 6
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 7
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 8
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 9
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 10
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 11
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 12
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 13
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 14
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: 15
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: MIDDLE
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -15
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -14
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -13
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -12
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -11
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -10
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -9
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -8
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -7
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -6
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -5
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -4
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -3
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -2
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	

# Matrix for position: -1
200	-600	-600	-600	
-600	200	-600	-600	
-600	-600	200	-600	
-600	-600	-600	200	



